Session Time,Bug Title,Expected Result,Actual Result,Steps to Reproduce,Severity (1-5),Position,Play Time,Death Count,Score
00:07.1,coin,pick up coin,coin left behind,walked through coin,3,"(-9.04, -53.89)",7.1,0,0
00:59.3,spike dosent end turn,die when you hit the spike,didnt die when I hit the spike,went through spike,3,"(-11.80, -55.73)",59.34,0,0
02:35.0,stuck in hole,die when you fall in the hole,didnt die when I fell in the hole,fell in hole,4,"(13.79, -62.36)",154.97,1,20
03:58.9,faulty save point,respawn at closest save point,respawned at previous save point,died just after second save point,3,"(7.58, -55.74)",238.87,2,30
04:56.7,faulty spike,die,didnt die,went through third spike,3,"(9.02, -55.73)",296.72,2,40
06:46.5,cant jump,jump onto platform,fell through platform,jumped through 5th platform,3,"(8.54, -54.41)",406.55,6,60
